EmployeeID,Name,Department,Education_Level,Experience_Years,Salary,Remote_Work,Performance_Rating
E101,Aditya,IT,Masters,5.0,78000,Yes,Outstanding
E102,Bhavna,HR,Bachelors,2.0,42000,No,Satisfactory
E103,Chirag,Sales,Bachelors,,61000,Yes,Excellent
E104,Deepak,,Masters,8.0,95000,,Outstanding
E105,Esha,Finance,PhD,12.0,,No,Outstanding
E106,Farhan,IT,Bachelors,1.0,38000,Yes,Satisfactory
E107,Gauri,Sales,Masters,6.0,72000,No,
E108,Harsh,Finance,,4.0,58000,Yes,Satisfactory
E109,Isha,IT,PhD,,125000,Yes,Outstanding
E110,Jayant,,Bachelors,3.0,46000,No,Satisfactory
E111,Kriti,Sales,Masters,7.0,,Yes,Excellent
E112,Lalit,HR,Bachelors,5.0,52000,No,Satisfactory
E113,Manya,IT,,9.0,105000,,Excellent
E114,Naveen,Finance,Masters,11.0,118000,No,Outstanding
E115,Ojas,Sales,Bachelors,2.0,45000,Yes,Satisfactory
E116,Pooja,HR,Masters,,49000,No,Satisfactory
E117,Qasim,IT,PhD,14.0,140000,Yes,Outstanding
E118,Ritu,Sales,,3.0,47000,,Satisfactory
